name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
The Shining,6,6,1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,52,19000000,46998772,Warner Bros.,146,27998772,0
The Blue Lagoon,6,1,1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,53,4500000,58853106,Columbia Pictures,104,54353106,1
Star Wars: Episode V - The Empire Strikes Back,4,0,1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,53,18000000,538375067,Lucasfilm,124,520375067,2
Airplane!,4,4,1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,53,3500000,83453539,Paramount Pictures,88,79953539,1
Caddyshack,6,4,1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,53,6000000,39846344,Orion Pictures,98,33846344,3
Friday the 13th,6,9,1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,53,550000,39754601,Paramount Pictures,95,39204601,3
The Blues Brothers,6,0,1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,53,27000000,115229890,Universal Pictures,133,88229890,0
Raging Bull,6,3,1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,53,18000000,23402427,Chartoff-Winkler Productions,129,5402427,0
Superman II,4,0,1981,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,53,54000000,108185706,Dovemead Films,127,54185706,1
The Long Riders,6,3,1980,7.0,10000,Walter Hill,Bill Bryden,David Carradine,53,10000000,15795189,United Artists,100,5795189,3
Any Which Way You Can,4,0,1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,53,15000000,70687344,The Malpaso Company,116,55687344,1
The Gods Must Be Crazy,4,1,1984,7.3,54000,Jamie Uys,Jamie Uys,N!xau,43,5000000,30031783,C.A.T. Films,109,25031783,1
Popeye,4,1,1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,53,20000000,49823037,Paramount Pictures,114,29823037,1
Ordinary People,6,6,1980,7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,53,6000000,54766923,Paramount Pictures,124,48766923,3
Dressed to Kill,6,5,1980,7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,53,6500000,31899000,Filmways Pictures,104,25399000,3
Somewhere in Time,4,6,1980,7.2,27000,Jeannot Szwarc,Richard Matheson,Christopher Reeve,53,5100000,9709597,Rastar Pictures,103,4609597,3
Fame,6,6,1980,6.6,21000,Alan Parker,Christopher Gore,Eddie Barth,53,10293750,21202829,Metro-Goldwyn-Mayer (MGM),134,10909079,3
9 to 5,4,4,1980,6.9,29000,Colin Higgins,Patricia Resnick,Jane Fonda,53,10000000,103300686,IPC Films,109,93300686,1
The Fog,6,9,1980,6.8,66000,John Carpenter,John Carpenter,Adrienne Barbeau,53,1000000,21448782,AVCO Embassy Pictures,89,20448782,3
Stir Crazy,6,4,1980,6.8,26000,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,53,10293750,101300000,Columbia Pictures,111,91006250,3
Cruising,6,5,1980,6.5,20000,William Friedkin,William Friedkin,Al Pacino,55,11000000,19814523,Lorimar Film Entertainment,102,8814523,3
Heaven's Gate,6,1,1981,6.8,14000,Michael Cimino,Michael Cimino,Kris Kristofferson,53,44000000,3484523,Partisan Productions,219,-40515477,0
The Final Countdown,4,0,1980,6.7,22000,Don Taylor,Thomas Hunter,Kirk Douglas,53,12000000,16647800,Bryna Productions,103,4647800,1
Xanadu,4,8,1980,5.3,12000,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,53,20000000,22762571,Universal Pictures,96,2762571,1
Urban Cowboy,4,6,1980,6.4,14000,James Bridges,Aaron Latham,John Travolta,53,10293750,46918287,Paramount Pictures,132,36624537,3
Altered States,6,9,1980,6.9,33000,Ken Russell,Paddy Chayefsky,William Hurt,53,10293750,19853892,Warner Bros.,102,9560142,3
Little Darlings,6,4,1980,6.5,5100,Ron Maxwell,Kimi Peck,Tatum O'Neal,53,10293750,34326249,Stephen Friedman/Kings Road Productions,96,24032499,3
Brubaker,6,5,1980,7.2,17000,Stuart Rosenberg,W.D. Richter,Robert Redford,53,9000000,37121708,Twentieth Century Fox,131,28121708,3
American Gigolo,6,5,1980,6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,53,4800000,22743674,Paramount Pictures,117,17943674,3
My Bodyguard,4,4,1980,7.1,8900,Tony Bill,Alan Ormsby,Chris Makepeace,53,10293750,22482952,Twentieth Century Fox,102,12189202,1
Prom Night,6,9,1980,5.4,16000,Paul Lynch,William Gray,Leslie Nielsen,6,10293750,14796236,Guardian Trust Company,92,4502486,3
Smokey and the Bandit II,4,0,1980,5.3,15000,Hal Needham,Hal Needham,Burt Reynolds,53,10293750,66132626,Universal Pictures,100,55838876,1
Cattle Annie and Little Britches,4,6,1981,6.1,604,Lamont Johnson,David Eyre,Scott Glenn,53,5100000,534816,Cattle Annie Productions,97,-4565184,1
Seems Like Old Times,4,4,1980,6.7,9100,Jay Sandrich,Neil Simon,Goldie Hawn,53,10293750,43995918,Rastar Films,102,33702168,1
Private Benjamin,6,4,1980,6.2,24000,Howard Zieff,Nancy Meyers,Goldie Hawn,53,10000000,69847348,Warner Bros.,109,59847348,3
The Hollywood Knights,6,4,1980,6.3,4300,Floyd Mutrux,Floyd Mutrux,Tony Danza,53,4000000,10000000,PolyGram Filmed Entertainment,91,6000000,3
Motel Hell,6,4,1980,6.0,11000,Kevin Connor,Robert Jaffe,Rory Calhoun,53,3000000,6342668,Camp Hill,101,3342668,3
The Jazz Singer,4,6,1980,5.9,4000,Richard Fleischer,Samson Raphaelson,Laurence Olivier,53,10293750,27118000,EMI Films,115,16824250,1
Coal Miner's Daughter,4,3,1980,7.5,17000,Michael Apted,Thomas Rickman,Sissy Spacek,53,10293750,67182787,Universal Pictures,124,56889037,1
The Watcher in the Woods,4,7,1981,6.3,5700,John Hough,Brian Clemens,Bette Davis,53,11829508,5000000,Walt Disney Productions,84,-6829508,1
The Stunt Man,6,0,1980,7.1,9000,Richard Rush,Lawrence B. Marcus,Peter O'Toole,53,3500000,7063886,Melvin Simon Productions,131,3563886,1
Where the Buffalo Roam,6,3,1980,6.6,11000,Art Linson,Hunter S. Thompson,Peter Boyle,53,10293750,6659377,Universal Pictures,99,-3634373,3
The Awakening,6,9,1980,4.8,2000,Mike Newell,Allan Scott,Charlton Heston,52,10293750,8415112,EMI Films,101,-1878638,3
Cheech and Chong's Next Movie,6,4,1980,6.1,12000,Tommy Chong,Tommy Chong,Cheech Marin,53,10293750,41675194,Universal Pictures,99,31381444,3
The Island,6,0,1980,5.3,3900,Michael Ritchie,Peter Benchley,Michael Caine,53,22000000,15716828,Universal Pictures,109,-6283172,1
The Nude Bomb,4,0,1980,5.1,3100,Clive Donner,Mel Brooks,Don Adams,53,15000000,14662035,Universal Pictures,94,-337965,1
Stardust Memories,4,4,1980,7.3,22000,Woody Allen,Woody Allen,Woody Allen,53,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,89,389003,1
Melvin and Howard,6,4,1980,6.8,4500,Jonathan Demme,Bo Goldman,Paul Le Mat,53,7000000,4309490,Universal Pictures,95,-2690510,3
Bronco Billy,4,0,1980,6.1,11000,Clint Eastwood,Dennis Hackin,Clint Eastwood,53,6500000,24265659,Warner Bros.,116,17765659,1
City of Women,6,4,1981,7.0,6700,Federico Fellini,Federico Fellini,Marcello Mastroianni,25,11829508,12516,Opera Film Produzione,139,-11816992,3
When Time Ran Out...,4,0,1980,4.6,2600,James Goldstone,Gordon Thomas,Paul Newman,53,20000000,3763988,International Cinema,121,-16236012,1
Oh Heavenly Dog,4,4,1980,5.4,2400,Joe Camp,Rod Browning,Chevy Chase,53,6000000,6216067,Mulberry Square Productions,103,216067,1
The Octagon,6,0,1980,5.1,5200,Eric Karson,Leigh Chapman,Chuck Norris,53,4000000,18971000,American Cinema Productions,103,14971000,1
Herbie Goes Bananas,1,1,1980,5.0,5300,Vincent McEveety,Don Tait,Charles Martin Smith,53,10293750,18000000,Walt Disney Productions,100,7706250,1
The Competition,4,6,1980,6.7,1900,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,53,10293750,14287755,Rastar Films,123,3994005,3
Honeysuckle Rose,4,6,1980,6.3,1400,Jerry Schatzberg,Gösta Stevens,Willie Nelson,53,10293750,17815212,Major Studio Partners,119,7521462,3
Resurrection,4,6,1980,7.3,2800,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,53,10293750,3910019,Universal Pictures,103,-6383731,3
Fatso,4,4,1980,6.3,2000,Anne Bancroft,Anne Bancroft,Dom DeLuise,53,10293750,7653061,Brooksfilms,93,-2640689,1
The Fiendish Plot of Dr. Fu Manchu,4,4,1980,5.1,2000,Piers Haggard,Rudy Dochtermann,Peter Sellers,53,10293750,10697276,Braun Entertainment Group,100,403526,1
Serial,6,4,1980,6.6,915,Bill Persky,Cyra McFadden,Martin Mull,53,10293750,9870727,Paramount Pictures,86,-423023,3
Hero at Large,4,4,1980,6.0,1500,Martin Davidson,AJ Carothers,John Ritter,53,10293750,15934737,Kings Road Entertainment,98,5640987,1
Wholly Moses!,4,4,1980,4.7,1800,Gary Weis,Guy Thomas,Dudley Moore,53,10293750,14155617,Columbia Pictures,103,3861867,1
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1,2,1980,7.3,2900,Bill Melendez,Charles M. Schulz,Scott Beach,53,10293750,2013193,Lee Mendelson Film Productions,75,-8280557,1
In God We Trust (or Gimme That Prime Time Religion),4,4,1980,5.5,965,Marty Feldman,Marty Feldman,Marty Feldman,53,10293750,5215015,Universal Pictures,97,-5078735,1
Roadie,4,4,1980,5.2,1100,Alan Rudolph,Big Boy Medlin,Meat Loaf,53,10293750,4226370,Alive Enterprises,106,-6067380,1
Just Tell Me What You Want,6,4,1980,5.5,585,Sidney Lumet,Jay Presson Allen,Ali MacGraw,53,10293750,2086905,Warner Bros.,112,-8206845,1
The Last Flight of Noah's Ark,1,1,1980,5.8,1300,Charles Jarrott,Ernest K. Gann,Elliott Gould,53,6000000,11000000,Walt Disney Productions,97,5000000,1
Little Miss Marker,4,4,1980,6.3,1400,Walter Bernstein,Damon Runyon,Walter Matthau,53,10293750,6321392,Universal Pictures,103,-3972358,1
Willie & Phil,6,4,1980,5.9,415,Paul Mazursky,Jean Gruault,Michael Ontkean,53,5500000,4400000,Twentieth Century Fox,115,-1100000,3
Phobia,6,6,1980,4.0,546,John Huston,Gary Sherman,Paul Michael Glaser,6,5100000,59167,Borough Park Productions,94,-5040833,1
Windows,6,6,1980,4.8,643,Gordon Willis,Barry Siegel,Talia Shire,53,10293750,2128395,Mike Lobell Productions,96,-8165355,1
Loving Couples,4,4,1980,5.2,351,Jack Smight,Martin Donovan,Shirley MacLaine,53,10293750,2806659,Time Life Films,97,-7487091,1
The King and the Mockingbird,3,2,1980,7.9,4800,Paul Grimault,Hans Christian Andersen,Jean Martin,14,10293750,167451,Les Films Paul Grimault,83,-10126299,1
"Oh, God! Book II",4,4,1980,5.2,2100,Gilbert Cates,Josh Greenfeld,George Burns,53,10293750,14504277,Warner Bros.,94,4210527,1
"Those Lips, Those Eyes",6,4,1980,6.5,269,Michael Pressman,David Shaber,Frank Langella,53,10293750,804713,Herb Jaffe,105,-9489037,3
La Cage aux Folles II,6,4,1981,5.8,1900,Édouard Molinaro,Jean Poiret,Michel Serrault,14,11829508,6950125,Da.Ma. Cinematografica,102,-4879383,3
The Gong Show Movie,6,4,1980,4.3,740,Chuck Barris,Chuck Barris,Chuck Barris,53,10293750,6621520,Chuck Barris Productions,89,-3672230,1
Gilda Live,6,4,1980,6.8,599,Mike Nichols,Anne Beatts,Gilda Radner,53,10293750,2261507,Broadway Productions,96,-8032243,3
Why Would I Lie?,4,4,1980,6.5,211,Larry Peerce,Hollis Hodges,Treat Williams,53,10293750,1175855,Metro-Goldwyn-Mayer (MGM),105,-9117895,1
First Family,6,4,1980,4.3,593,Buck Henry,Buck Henry,Bob Newhart,53,10293750,15198912,F.F. Associates,97,4905162,1
Indiana Jones and the Raiders of the Lost Ark,4,0,1981,8.4,905000,Steven Spielberg,Lawrence Kasdan,Harrison Ford,53,18000000,389925971,Paramount Pictures,115,371925971,2
Body Heat,6,5,1981,7.4,32000,Lawrence Kasdan,Lawrence Kasdan,William Hurt,53,11829508,24058838,The Ladd Company,113,12229330,3
An American Werewolf in London,6,4,1981,7.5,97000,John Landis,John Landis,David Naughton,52,10000000,30669378,Polygram Pictures,97,20669378,3
Escape from New York,6,0,1981,7.2,131000,John Carpenter,John Carpenter,Kurt Russell,53,6000000,25244626,AVCO Embassy Pictures,99,19244626,1
The Evil Dead,2,9,1983,7.5,192000,Sam Raimi,Sam Raimi,Bruce Campbell,53,350000,2956630,Renaissance Pictures,85,2606630,3
Porky's,6,4,1982,6.2,40000,Bob Clark,Bob Clark,Dan Monahan,6,2500000,111289673,Astral Bellevue Pathé,94,108789673,3
Blow Out,6,5,1981,7.4,47000,Brian De Palma,Brian De Palma,John Travolta,53,18000000,12000000,Filmways Pictures,108,-6000000,3
Clash of the Titans,4,0,1981,6.9,42000,Desmond Davis,Beverley Cross,Laurence Olivier,52,15000000,41092328,Charles H. Schneer Productions,118,26092328,1
Excalibur,6,1,1981,7.4,59000,John Boorman,Thomas Malory,Nigel Terry,52,11000000,34971136,Cinema '84,140,23971136,0
Mad Max 2,6,0,1982,7.6,170000,George Miller,Terry Hayes,Mel Gibson,2,3000000,23668369,Kennedy Miller Productions,96,20668369,0
Stripes,6,4,1981,6.9,68000,Ivan Reitman,Len Blum,Bill Murray,53,10000000,85297000,Columbia Pictures,106,75297000,3
Possession,6,6,1983,7.4,27000,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,14,9683984,1113538,Gaumont,124,-8570446,3
The Cannonball Run,4,0,1981,6.2,34000,Hal Needham,Brock Yates,Burt Reynolds,53,18000000,72179579,Golden Harvest Company,95,54179579,1
Thief,6,0,1981,7.4,27000,Michael Mann,Frank Hohimer,James Caan,53,5500000,11492915,Mann/Caan Productions,123,5992915,3
Endless Love,6,6,1981,4.9,7600,Franco Zeffirelli,Scott Spencer,Brooke Shields,53,11829508,32492674,PolyGram Filmed Entertainment,116,20663166,3
Time Bandits,4,1,1981,7.0,60000,Terry Gilliam,Michael Palin,Sean Connery,52,5000000,42368025,HandMade Films,110,37368025,1
The Four Seasons,4,4,1981,6.8,4200,Alan Alda,Alan Alda,Alan Alda,53,11829508,50427646,Universal Pictures,107,38598138,1
Friday the 13th Part 2,6,9,1981,6.1,61000,Steve Miner,Ron Kurz,Betsy Palmer,53,1250000,21722776,Georgetown Productions Inc.,87,20472776,3
Scanners,6,9,1981,6.8,51000,David Cronenberg,David Cronenberg,Jennifer O'Neill,6,11829508,14225876,Canadian Film Development Corporation (CFDC),103,2396368,3
For Your Eyes Only,4,0,1981,6.7,94000,John Glen,Richard Maibaum,Roger Moore,52,28000000,54813222,Eon Productions,127,26813222,1
Halloween II,6,9,1981,6.5,77000,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,53,2500000,25533818,Dino De Laurentiis Company,92,23033818,3
Taps,4,6,1981,6.8,17000,Harold Becker,Darryl Ponicsan,George C. Scott,53,14000000,35856053,Major Studio Partners,126,21856053,3
Reds,4,3,1981,7.3,21000,Warren Beatty,Warren Beatty,Warren Beatty,53,32000000,40382659,Barclays Mercantile Industrial Finance,195,8382659,0
On Golden Pond,4,6,1982,7.6,29000,Mark Rydell,Ernest Thompson,Katharine Hepburn,53,11949109,119285432,IPC Films,109,107336323,3
The Fox and the Hound,1,2,1981,7.3,87000,Directors,Daniel P. Mannix,Mickey Rooney,53,12000000,63456988,Walt Disney Animation Studios,83,51456988,1
Chariots of Fire,4,3,1982,7.2,56000,Hugh Hudson,Colin Welland,Ben Cross,52,5500000,59303359,Enigma Productions,125,53803359,1
Absence of Malice,4,6,1981,6.9,12000,Sydney Pollack,Kurt Luedtke,Paul Newman,53,12000000,40716963,Columbia Pictures,116,28716963,3
Tarzan the Ape Man,0,1,1981,3.4,5300,John Derek,Tom Rowe,Bo Derek,53,6500000,36565280,Metro-Goldwyn-Mayer (MGM),115,30065280,1
Victory,4,6,1981,6.7,29000,John Huston,Yabo Yablonsky,Michael Caine,52,10000000,10853418,Lorimar Film Entertainment,116,853418,3
Arthur,4,4,1981,6.9,27000,Steve Gordon,Steve Gordon,Dudley Moore,53,7000000,95461682,Orion Pictures,97,88461682,1
My Dinner with Andre,4,3,1981,7.8,19000,Louis Malle,Wallace Shawn,Andre Gregory,53,11829508,5073,Saga Productions Inc.,110,-11824435,1
Caveman,4,4,1981,5.8,7300,Carl Gottlieb,Rudy De Luca,Ringo Starr,53,11829508,15965924,Estudios Churubusco Azteca S.A.,91,4136416,1
History of the World: Part I,6,4,1981,6.9,47000,Mel Brooks,Mel Brooks,Mel Brooks,53,11000000,31672907,Brooksfilms,92,20672907,3
The Howling,6,9,1981,6.6,32000,Joe Dante,Gary Brandner,Dee Wallace,53,1000000,17985893,Embassy Pictures,91,16985893,3
Dragonslayer,4,0,1981,6.7,16000,Matthew Robbins,Hal Barwood,Peter MacNicol,52,18000000,14110013,Paramount Pictures,109,-3889987,1
Cutter's Way,6,5,1982,6.9,5300,Ivan Passer,Newton Thornburg,Jeff Bridges,53,3000000,1752634,Gurian Entertainment,109,-1247366,3
Quest for Fire,6,1,1982,7.3,21000,Jean-Jacques Annaud,Gérard Brach,Everett McGill,6,12500000,20962615,International Cinema Corporation (ICC),100,8462615,3
The Final Conflict,6,9,1981,5.6,19000,Graham Baker,David Seltzer,Sam Neill,52,5000000,20471382,Twentieth Century Fox,108,15471382,3
Mommie Dearest,6,3,1981,6.7,15000,Frank Perry,Christina Crawford,Faye Dunaway,53,5000000,19032261,Paramount Pictures,129,14032261,3
Private Lessons,6,4,1981,5.2,3400,Alan Myerson,Dan Greenburg,Sylvia Kristel,53,2800000,26279000,Barry & Enright Productions,87,23479000,1
The Postman Always Rings Twice,6,5,1981,6.6,22000,Bob Rafelson,David Mamet,Jack Nicholson,55,12000000,12376625,CIP Filmproduktion GmbH,122,376625,3
Ragtime,4,6,1981,7.3,9000,Milos Forman,E.L. Doctorow,James Cagney,53,11829508,14920781,Dino De Laurentiis Company,155,3091273,3
Deadly Blessing,6,9,1981,5.6,5200,Wes Craven,Glenn M. Benest,Maren Jensen,53,2500000,8279042,PolyGram Filmed Entertainment,100,5779042,3
Eyewitness,6,5,1981,6.0,4500,Peter Yates,Steve Tesich,William Hurt,53,8500000,6400000,Twentieth Century Fox,103,-2100000,3
Gallipoli,4,1,1981,7.4,38000,Peter Weir,David Williamson,Mel Gibson,2,11829508,5732587,R&R Films,110,-6096921,1
Outland,6,0,1981,6.6,28000,Peter Hyams,Peter Hyams,Sean Connery,52,16000000,17374595,The Ladd Company,109,1374595,1
S.O.B.,6,4,1981,6.4,5700,Blake Edwards,Blake Edwards,Julie Andrews,53,12000000,14867086,Artista Management,122,2867086,3
The Beyond,6,9,1983,6.8,21000,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,25,400000,123843,Fulvia Film,87,-276157,3
Ghost Story,6,6,1981,6.3,7900,John Irvin,Peter Straub,Craig Wasson,53,11829508,23371905,Universal Pictures,110,11542397,3
My Bloody Valentine,6,9,1981,6.3,19000,George Mihalka,Stephen A. Miller,Paul Kelman,6,11829508,5672031,Canadian Film Development Corporation (CFDC),90,-6157477,3
The Funhouse,6,9,1981,5.9,13000,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,53,11829508,7886857,Universal Pictures,96,-3942651,3
One from the Heart,6,6,1982,6.5,5700,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,53,26000000,636796,Zoetrope Studios,107,-25363204,3
The French Lieutenant's Woman,6,6,1981,7.0,13000,Karel Reisz,John Fowles,Meryl Streep,52,11829508,26890068,Juniper Films,124,15060560,3
The Great Muppet Caper,1,1,1981,7.2,14000,Jim Henson,Tom Patchett,Jim Henson,52,11829508,31206251,Henson Associates (HA),97,19376743,1
True Confessions,6,5,1981,6.3,7500,Ulu Grosbard,John Gregory Dunne,Robert De Niro,53,10000000,12850276,Chartoff-Winkler Productions,108,2850276,3
Nighthawks,6,0,1981,6.4,18000,Bruce Malmuth,David Shaber,Sylvester Stallone,53,5000000,19905359,Universal Pictures,99,14905359,1
Nice Dreams,6,4,1981,6.2,7100,Tommy Chong,Tommy Chong,Cheech Marin,53,11829508,37000000,C & C Brown Production,88,25170492,3
Sharky's Machine,6,0,1981,6.3,5600,Burt Reynolds,William Diehl,Burt Reynolds,53,11829508,35610100,Deliverance Productions,122,23780592,1
Neighbors,6,4,1981,5.6,7600,John G. Avildsen,Thomas Berger,John Belushi,53,8500000,29916207,Columbia Pictures,94,21416207,1
Puberty Blues,6,4,1981,5.9,1300,Bruce Beresford,Margaret Kelly,Nell Schofield,2,11829508,237000,Limelight Productions (II),87,-11592508,3
Eye of the Needle,6,13,1981,7.1,9900,Richard Marquand,Ken Follett,Donald Sutherland,52,11829508,17583634,Kings Road Entertainment,112,5754126,3
Wolfen,6,9,1981,6.3,9400,Michael Wadleigh,Whitley Strieber,Albert Finney,53,17000000,10626725,Orion Pictures,115,-6373275,3
Student Bodies,6,4,1981,5.5,4400,Mickey Rose,Mickey Rose,Kristen Riter,53,11829508,5165432,Allen Smithee Classic Films,86,-6664076,1
Prince of the City,6,5,1981,7.5,7600,Sidney Lumet,Jay Presson Allen,Treat Williams,53,8600000,8124257,Orion Pictures,167,-475743,3
The Hand,6,6,1981,5.5,5700,Oliver Stone,Marc Brandel,Michael Caine,53,11829508,2447576,Orion Pictures,104,-9381932,3
Continental Divide,4,4,1981,6.2,4800,Michael Apted,Lawrence Kasdan,John Belushi,53,11829508,15578237,Universal Pictures,103,3748729,1
Diva,6,10,1982,7.2,12000,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,14,11949109,110014,Les Films Galaxie,117,-11839095,3
Venom,6,9,1982,5.8,2600,Piers Haggard,Alan Scholefield,Klaus Kinski,52,11949109,5229643,Morison Film Group,92,-6719466,3
Fort Apache the Bronx,6,5,1981,6.7,5800,Daniel Petrie,Heywood Gould,Paul Newman,53,11829508,29200000,Time Life Films,125,17370492,3
Eyes of a Stranger,6,9,1981,6.0,2400,Ken Wiederhorn,Ron Kurz,Lauren Tewes,53,800000,1118634,Georgetown Productions Inc.,84,318634,3
Under the Rainbow,4,4,1981,5.4,2600,Steve Rash,Fred Bauer,Chevy Chase,53,20000000,18826490,Innovisions,98,-1173510,1
Carbon Copy,4,4,1981,5.6,2600,Michael Schultz,Stanley Shapiro,George Segal,53,6000000,9566593,DeHaven/Shapiro Productions,92,3566593,1
The Incredible Shrinking Woman,4,4,1981,5.5,4500,Joel Schumacher,Richard Matheson,Lily Tomlin,53,11829508,20259961,Lija Productions,88,8430453,1
The Night the Lights Went Out in Georgia,4,6,1981,6.0,891,Ron Maxwell,Bob Bonney,Kristy McNichol,53,11829508,14923752,Viacom Enterprises,112,3094244,1
Quartet,6,6,1981,6.3,1300,James Ivory,Jean Rhys,Isabelle Adjani,52,11829508,12042,Merchant Ivory Productions,101,-11817466,3
Modern Problems,4,4,1981,5.1,4900,Ken Shapiro,Ken Shapiro,Chevy Chase,53,8000000,26154211,Twentieth Century Fox,93,18154211,1
Pennies from Heaven,6,6,1982,6.5,5300,Herbert Ross,Dennis Potter,Steve Martin,53,22000000,9171289,Metro-Goldwyn-Mayer (MGM),108,-12828711,3
The Legend of the Lone Ranger,4,0,1981,5.1,2000,William A. Fraker,Ivan Goff,Klinton Spilsbury,53,18000000,12617845,Eaves Movie Ranch,98,-5382155,1
Sphinx,4,1,1981,5.2,1300,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,52,14000000,2022771,Orion Pictures,118,-11977229,1
Night School,6,9,1981,5.6,2400,Ken Hughes,Ruth Avergon,Leonard Mann,53,11829508,1169875,Lorimar Productions,88,-10659633,3
Zoot Suit,6,6,1982,6.8,1100,Luis Valdez,Luis Valdez,Daniel Valdez,53,2700000,3256082,Universal Pictures,103,556082,3
Rich and Famous,6,6,1981,5.9,1600,George Cukor,Gerald Ayres,Jacqueline Bisset,53,11829508,14492125,Jaquet,117,2662617,3
Buddy Buddy,6,4,1981,6.5,4500,Billy Wilder,Francis Veber,Jack Lemmon,53,10000000,7258543,Heron Productions,96,-2741457,3
Bustin' Loose,6,4,1981,6.1,2900,Oz Scott,Lonne Elder III,Richard Pryor,53,11000000,31261269,Universal Pictures,94,20261269,3
Modern Romance,6,4,1981,7.0,3600,Albert Brooks,Albert Brooks,Albert Brooks,53,11829508,2863642,Columbia Pictures,93,-8965866,3
Heartbeeps,4,4,1981,4.3,1300,Allan Arkush,John Hill,Andy Kaufman,53,12000000,2154696,Universal Pictures,78,-9845304,1
Back Roads,6,1,1981,5.6,829,Martin Ritt,Gary DeVore,Sally Field,53,11829508,11809387,CBS Theatrical Films,94,-20121,1
Take This Job and Shove It,4,4,1981,5.0,761,Gus Trikonis,Barry Schneider,Robert Hays,53,3500000,17569027,Cinema Group Ventures,100,14069027,1
Raggedy Man,6,6,1981,6.8,1400,Jack Fisk,William D. Wittliff,Sissy Spacek,53,11829508,1976198,Universal Pictures,94,-9853310,3
Whose Life Is It Anyway?,6,4,1982,7.3,2700,John Badham,Brian Clark,Richard Dreyfuss,53,13000000,8206145,Metro-Goldwyn-Mayer (MGM),119,-4793855,3
Inchon,4,6,1982,2.7,659,Terence Young,Robin Moore,Laurence Olivier,44,46000000,5200986,One Way Productions,140,-40799014,1
All Night Long,6,4,1981,5.5,1700,Jean-Claude Tramont,W.D. Richter,Gene Hackman,53,14000000,4454295,Universal Pictures,87,-9545705,1
The Pursuit of D.B. Cooper,4,1,1981,5.6,1100,Roger Spottiswoode,J.D. Reed,Robert Duvall,53,12000000,3702028,PolyGram Pictures,100,-8297972,1
Rollover,6,6,1981,5.4,1100,Alan J. Pakula,Howard Kohn,Jane Fonda,53,16000000,10851261,IPC Films,116,-5148739,3
Only When I Laugh,6,4,1981,6.5,1300,Glenn Jordan,Neil Simon,Marsha Mason,53,11829508,25524778,Columbia Pictures,120,13695270,3
Honky Tonk Freeway,4,0,1981,5.2,928,John Schlesinger,Edward Clinton,David Rasche,53,24000000,2004742,EMI Films,107,-21995258,1
Paternity,4,4,1981,4.9,920,David Steinberg,Charlie Peters,Burt Reynolds,53,11829508,18838812,Paramount Pictures,94,7009304,1
King of the Mountain,4,0,1981,5.5,384,Noel Nosseck,David Barry,Harry Hamlin,53,2000000,1791147,PolyGram Pictures,90,-208853,1
The Devil and Max Devlin,4,4,1981,5.0,1200,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,53,11829508,16000000,Walt Disney Productions,96,4170492,1
The Amateur,6,5,1982,5.8,782,Charles Jarrott,Robert Littell,John Savage,6,11949109,6892098,Balkan Productions,112,-5057011,3
Comin' at Ya!,6,17,1981,5.1,499,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,25,11829508,12000000,Lupo-Anthony-Quintano Productions,91,170492,3
Le Pont du Nord,3,1,1982,6.9,1100,Jacques Rivette,Bulle Ogier,Bulle Ogier,14,11949109,17110,Les Films du Losange,129,-11931999,1
Silence of the North,4,6,1981,6.3,228,Allan King,Olive Frederickson,Ellen Burstyn,6,11829508,1622898,Universal Pictures,94,-10206610,1
Fast Times at Ridgemont High,6,4,1982,7.2,98000,Amy Heckerling,Cameron Crowe,Sean Penn,53,4500000,27092880,Universal Pictures,90,22592880,3
Blade Runner,6,0,1982,8.1,710000,Ridley Scott,Hampton Fancher,Harrison Ford,53,28000000,41676878,The Ladd Company,117,13676878,0
