name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
Ghostbusters,5,0,2016,6.7,209000,Paul Feig,Katie Dippold,Melissa McCarthy,53,144000000,229147509,Columbia Pictures,117,85147509,0
The Accountant,6,0,2016,7.3,271000,Gavin O'Connor,Bill Dubuque,Ben Affleck,53,44000000,155160045,Warner Bros.,128,111160045,0
The Neon Demon,6,9,2016,6.2,87000,Nicolas Winding Refn,Nicolas Winding Refn,Elle Fanning,53,7000000,3377430,Space Rocket Nation,117,-3622570,3
Moonlight,6,6,2016,7.4,284000,Barry Jenkins,Barry Jenkins,Mahershala Ali,53,4000000,65336603,A24,111,61336603,0
Jason Bourne,5,0,2016,6.6,213000,Paul Greengrass,Paul Greengrass,Matt Damon,53,120000000,415484914,Universal Pictures,123,295484914,2
Manchester by the Sea,6,6,2016,7.8,257000,Kenneth Lonergan,Kenneth Lonergan,Casey Affleck,53,9000000,78988148,Amazon Studios,137,69988148,0
Central Intelligence,5,0,2016,6.3,166000,Rawson Marshall Thurber,Ike Barinholtz,Dwayne Johnson,53,50000000,216972543,New Line Cinema,107,166972543,0
War Dogs,6,3,2016,7.1,188000,Todd Phillips,Stephen Chin,Jonah Hill,53,40000000,86234523,BZ Entertainment,114,46234523,0
The Legend of Tarzan,5,0,2016,6.2,168000,David Yates,Adam Cozad,Alexander Skarsgård,52,180000000,356700357,Village Roadshow Pictures,110,176700357,0
Silence,6,6,2017,7.2,104000,Martin Scorsese,Jay Cocks,Andrew Garfield,53,46000000,23834809,SharpSword Films,161,-22165191,0
American Honey,6,1,2016,7.0,40000,Andrea Arnold,Andrea Arnold,Sasha Lane,52,52211949,2290649,Maven Pictures,163,-49921300,0
Gods of Egypt,5,0,2016,5.4,110000,Alex Proyas,Matt Sazama,Brenton Thwaites,53,140000000,150680864,Pyramania,127,10680864,0
Hunt for the Wilderpeople,5,1,2016,7.9,118000,Taika Waititi,Taika Waititi,Sam Neill,33,52211949,23915910,Piki Films,101,-28296039,0
The Founder,5,3,2017,7.2,134000,John Lee Hancock,Robert Siegel,Michael Keaton,53,25000000,24121245,The Weinstein Company,115,-878755,0
Inferno,5,0,2016,6.2,165000,Ron Howard,Dan Brown,Tom Hanks,53,75000000,220021259,Columbia Pictures,121,145021259,0
